dataset,experiment,model_label,backbone,probe,layer_key,n_seeds,seeds,seed_source,test_primary_mean,test_primary_std,test_accuracy_mean,test_accuracy_std,val_primary_mean,val_primary_std,val_accuracy_mean,val_accuracy_std
intphys2,ltx,LTX-13B,LTX-13B,linear,label:noise_0.4_block_24,3,"42,101,102",ready_manifest,42.483660130718924,1.132059351352187,60.13071895424836,0.28301483783804265,36.60130718954248,1.1320593513522033,59.31372549019608,0.8490445135141526
intphys2,ltx,LTX-13B,LTX-13B,linear,label:noise_0.4_block_36,3,"42,101,102",ready_manifest,34.640522875816984,2.2641187027044274,58.33333333333333,0.4901960784313708,23.529411764705856,1.9607843137254886,57.51633986928101,0.7487868782607711
intphys2,ltx,LTX-13B,LTX-13B,linear,label:noise_0.4_block_48,3,"42,101,102",ready_manifest,26.79738562091502,4.528237405408816,54.73856209150325,2.4672661553172404,16.339869281045722,6.88604820447887,52.61437908496729,1.2336330776585749
intphys2,ltx,LTX-13B,LTX-13B,linear,label:noise_0.5_block_12,3,"42,101,102",ready_manifest,22.875816993464028,2.264118702704372,54.08496732026141,1.9811038648663266,14.379084967320251,2.995147513043037,54.08496732026143,1.0204245095422364
intphys2,ltx,LTX-13B,LTX-13B,linear,label:noise_0.5_block_24,3,"42,101,102",ready_manifest,39.2156862745098,1.9607843137254868,59.47712418300651,1.233633077658622,30.718954248366003,4.934532310634466,58.16993464052287,0.28301483783803855
intphys2,ltx,LTX-13B,LTX-13B,linear,label:noise_0.5_block_36,3,"42,101,102",ready_manifest,39.2156862745098,1.9607843137254868,58.98692810457515,2.6997894839637526,30.065359477124165,2.9951475130430345,58.660130718954235,1.2336330776585975
intphys2,ltx,LTX-13B,LTX-13B,linear,label:noise_0.5_block_48,3,"42,101,102",ready_manifest,29.411764705882337,5.882352941176473,58.49673202614377,1.0204245095421915,16.99346405228758,6.303039713067291,55.06535947712416,1.5757599282668322
intphys2,ltx,LTX-13B,LTX-13B,linear,label:noise_0.6_block_12,3,"42,101,102",ready_manifest,20.915032679738538,6.303039713067263,51.47058823529411,2.136715168402285,14.379084967320255,1.1320593513521942,53.75816993464053,1.7215120511197275
intphys2,ltx,LTX-13B,LTX-13B,linear,label:noise_0.6_block_24,3,"42,101,102",ready_manifest,37.254901960784316,1.9607843137254868,59.15032679738562,1.8558524005883328,25.49019607843135,1.9607843137254921,57.51633986928103,1.41507418919025
intphys2,ltx,LTX-13B,LTX-13B,linear,label:noise_0.6_block_36,3,"42,101,102",ready_manifest,30.065359477124183,8.163396076337774,54.41176470588234,1.767427095815657,22.875816993464028,2.264118702704372,57.51633986928104,1.1320593513522157
